Open time,Open,High,Low,Close,Volume,Quote volume,Trade count,Taker base volume,Taker quote volume
2022-05-03 00:00:00+00:00,2856.54,2861.47,2755.19,2781.7,371331.1796,1046307600.938906,490176,184363.8992,519353347.817204
2022-05-04 00:00:00+00:00,2781.7,2965.85,2771.74,2940.64,548738.0668,1572901182.250391,742950,288893.9402,828312420.078609
2022-05-05 00:00:00+00:00,2940.65,2954.65,2683.0,2747.97,734845.3194,2055752498.216567,935371,350520.4261,980883294.226925
2022-05-06 00:00:00+00:00,2747.96,2758.18,2632.95,2692.85,711449.3234,1918267933.165302,813458,349985.0658,943463874.26934
2022-05-07 00:00:00+00:00,2692.86,2704.36,2584.75,2635.34,371271.4532,987464053.430564,505005,178447.7479,475117134.010161
2022-05-08 00:00:00+00:00,2635.35,2642.0,2484.0,2519.71,757615.3415,1930282594.659069,867730,369624.7096,942238867.840915
2022-05-09 00:00:00+00:00,2519.71,2530.78,2225.0,2228.55,1574924.9793,3725676633.136297,1758980,785287.2222,1857342023.718995
2022-05-10 00:00:00+00:00,2229.0,2457.34,2200.0,2342.05,1550626.1387,3650912006.062748,1851225,770089.0695,1814101732.749854
2022-05-11 00:00:00+00:00,2342.04,2451.37,2005.0,2084.99,2022864.83806,4605757119.998099,2825340,1003328.68581,2287433514.6740475
2022-05-12 00:00:00+00:00,2084.99,2195.0,1800.0,1960.22,2305192.90836,4485518775.573885,2958830,1149413.56735,2239195361.5553775
2022-05-13 00:00:00+00:00,1960.22,2147.54,1940.23,2009.69,1134042.3387,2355144482.314068,1380079,571173.2861,1185879372.00475
2022-05-14 00:00:00+00:00,2009.69,2070.06,1951.21,2056.48,563788.3078,1136170835.745817,794510,281099.5159,566477120.581522
2022-05-15 00:00:00+00:00,2056.47,2167.0,2000.68,2145.29,514398.2587,1067795595.552432,677163,262025.1755,544140622.261383
2022-05-16 00:00:00+00:00,2145.29,2145.29,1979.12,2023.66,822070.8531,1672324751.612644,1046115,408849.6576,831576415.58978
2022-05-17 00:00:00+00:00,2023.66,2122.42,2008.0,2090.72,568249.0448,1175068276.038261,820184,285532.6493,590471647.472913
2022-05-18 00:00:00+00:00,2090.72,2110.72,1908.0,1915.11,631577.2341,1262292139.414203,803676,312760.9821,625432646.670215
2022-05-19 00:00:00+00:00,1915.11,2040.39,1903.18,2019.55,741476.9794,1461787984.391026,946509,379142.028,747524577.441866
2022-05-20 00:00:00+00:00,2019.55,2064.0,1923.0,1959.08,576981.5371,1151839844.607967,840589,288229.0147,575366153.010315
2022-05-21 00:00:00+00:00,1959.08,1990.86,1937.36,1975.07,238869.7632,470714672.584742,417873,118346.0477,233248483.57794
2022-05-22 00:00:00+00:00,1975.06,2056.41,1966.33,2043.19,355735.1927,715445185.627839,540257,183171.2067,368425687.061909
2022-05-23 00:00:00+00:00,2043.19,2088.5,1957.12,1973.32,636085.0224,1296599784.113311,809254,302465.5284,616921358.817486
2022-05-24 00:00:00+00:00,1973.33,1993.83,1913.02,1979.41,534096.972,1047864199.932369,598082,266945.8146,523855302.585018
2022-05-25 00:00:00+00:00,1979.4,2022.34,1934.61,1942.63,524786.3091,1034922798.422685,600224,262403.8246,517508625.290005
2022-05-26 00:00:00+00:00,1942.64,1966.01,1735.0,1792.23,1168740.57514,2157585473.515414,1124028,568892.0724,1050063563.9471682
2022-05-27 00:00:00+00:00,1792.24,1822.26,1703.0,1727.27,1296693.28537,2284866824.037575,1226454,636298.35366,1121310214.676939
2022-05-28 00:00:00+00:00,1727.26,1808.98,1722.26,1792.22,558271.1818,988074924.551089,645423,274929.0893,486689625.025699
2022-05-29 00:00:00+00:00,1792.21,1827.4,1759.96,1813.64,432430.611,776046677.057929,447003,220130.2683,394977604.090882
2022-05-30 00:00:00+00:00,1813.64,2013.0,1803.18,1998.78,814922.8359,1557925971.047644,848129,429356.6023,820387228.004023
2022-05-31 00:00:00+00:00,1998.78,2016.45,1925.0,1941.9,751103.4226,1477853073.767754,791367,372240.6566,732469031.320572
2022-06-01 00:00:00+00:00,1941.9,1972.58,1763.75,1817.95,1037841.2706,1954005475.230421,973159,502588.515,947207203.239108
2022-06-02 00:00:00+00:00,1817.96,1853.05,1782.42,1834.08,788784.4017,1434781730.184754,793304,393723.5095,716261889.851378
2022-06-03 00:00:00+00:00,1834.09,1843.91,1737.0,1775.12,741282.5346,1319239612.462907,807046,359074.7991,639037260.339931
2022-06-04 00:00:00+00:00,1775.13,1816.0,1748.43,1804.58,388279.4579,689062742.981284,402734,193658.9013,343739405.010212
2022-06-05 00:00:00+00:00,1804.58,1830.17,1773.05,1806.23,371974.5061,670583716.956391,403935,186891.6989,336909023.979255
2022-06-06 00:00:00+00:00,1806.22,1920.0,1804.35,1859.84,804250.3567,1509754495.64725,817039,405327.2979,760750310.594949
2022-06-07 00:00:00+00:00,1859.84,1874.98,1725.13,1813.33,1397598.2288,2491786694.534087,1225296,693368.6997,1236307195.998481
2022-06-08 00:00:00+00:00,1813.33,1838.77,1765.28,1791.88,941510.1373,1696874614.384348,820627,480434.1803,865687999.825866
2022-06-09 00:00:00+00:00,1791.88,1833.0,1777.33,1788.81,535310.9618,963245550.843159,528098,264221.1578,475519035.763693
2022-06-10 00:00:00+00:00,1788.8,1804.32,1655.93,1662.91,955035.79239,1648304410.4463153,990969,456629.3193,788205272.287783
2022-06-11 00:00:00+00:00,1662.91,1682.21,1496.74,1532.89,1220325.2542,1914818053.8337584,1030360,584721.52941,917977346.6833965
2022-06-12 00:00:00+00:00,1532.89,1547.0,1423.0,1434.84,1563225.37018,2311178755.269472,1192382,770513.07795,1139403038.696923
2022-06-13 00:00:00+00:00,1434.84,1455.0,1165.45,1209.82,3626351.66536,4611744120.817471,3047112,1791798.24942,2278239124.087627
2022-06-14 00:00:00+00:00,1209.35,1268.45,1075.8,1208.9,2716493.80131,3217818700.1241937,2225812,1348790.33831,1598488294.1562355
2022-06-15 00:00:00+00:00,1208.9,1250.0,1014.4,1237.52,3114823.13621,3493040697.137657,2868796,1545969.74767,1735187764.941026
2022-06-16 00:00:00+00:00,1237.53,1257.85,1051.55,1068.5,1447386.8304,1649596819.734239,1443117,712044.8573,812156334.522525
2022-06-17 00:00:00+00:00,1068.5,1118.0,1051.11,1086.94,1220677.9491,1329091114.650089,1118997,612161.0345,666616721.780041
2022-06-18 00:00:00+00:00,1086.93,1097.58,881.56,995.13,2308983.5187,2263399396.7537208,1911260,1101942.26213,1080171003.6052585
2022-06-19 00:00:00+00:00,995.12,1158.62,936.15,1128.53,2018599.4499,2092850317.951397,1796154,1026357.8719,1064868109.350839
2022-06-20 00:00:00+00:00,1128.53,1170.0,1053.0,1128.24,1721772.9132,1910020862.813687,1585055,867678.5867,962585144.220855
2022-06-21 00:00:00+00:00,1128.24,1194.0,1109.23,1125.85,1306095.3757,1500605189.572539,1295971,655284.8532,752977829.693172
2022-06-22 00:00:00+00:00,1125.86,1127.33,1043.65,1050.19,1306959.8593,1420433701.91995,1132300,646031.5713,702291074.911178
2022-06-23 00:00:00+00:00,1050.19,1155.0,1045.3,1144.72,1278257.0899,1415452039.241517,1031001,641656.7356,710456786.566925
2022-06-24 00:00:00+00:00,1144.71,1245.43,1132.0,1225.02,1337137.483,1589113478.228719,1232149,673998.3259,800669596.490533
2022-06-25 00:00:00+00:00,1225.02,1256.77,1180.0,1242.36,861986.6177,1048516642.219459,824872,437886.335,532658837.555745
2022-06-26 00:00:00+00:00,1242.31,1280.0,1194.6,1197.79,884184.273,1094067725.453475,812743,437940.2564,542178116.010993
2022-06-27 00:00:00+00:00,1197.79,1238.93,1172.49,1192.51,868734.2061,1047407117.877672,794157,420783.4443,507473498.504359
2022-06-28 00:00:00+00:00,1192.51,1237.99,1136.32,1144.05,1104065.2211,1314982778.267405,952584,533645.7487,636188942.640824
2022-06-29 00:00:00+00:00,1144.05,1156.8,1087.42,1100.21,1295517.796,1449586742.872254,1145867,652377.6608,730169240.797282
2022-06-30 00:00:00+00:00,1100.21,1106.62,998.0,1071.01,1420670.3656,1481000138.963289,1180758,701019.9239,730542636.474794
2022-07-01 00:00:00+00:00,1071.02,1117.0,1033.44,1059.73,1562255.1439,1669000120.550048,1218279,783385.8656,837102080.570035
2022-07-02 00:00:00+00:00,1059.73,1078.88,1028.29,1067.01,714812.0804,752813687.02771,608900,360116.7187,379291428.477764
2022-07-03 00:00:00+00:00,1067.01,1088.34,1040.78,1074.26,644746.3337,686056543.195206,562962,329544.2186,350649880.771009
2022-07-04 00:00:00+00:00,1074.26,1160.9,1045.37,1151.0,1150108.9861,1266934953.326424,842895,572056.1028,630242868.397467
2022-07-05 00:00:00+00:00,1151.01,1174.9,1076.34,1132.5,1398961.4495,1578654373.510018,1130646,711600.6988,802654486.565431
2022-07-06 00:00:00+00:00,1132.51,1205.0,1111.44,1186.57,1211768.0757,1388074909.874991,1040498,610078.3513,699225684.142216
2022-07-07 00:00:00+00:00,1186.57,1254.29,1163.18,1237.49,1001316.079,1208160386.338313,877397,503991.6385,608408627.11503
2022-07-08 00:00:00+00:00,1237.49,1276.46,1193.15,1214.04,1189518.3631,1466331923.650613,1233964,605091.0349,746050709.076843
2022-07-09 00:00:00+00:00,1214.03,1235.4,1204.67,1217.02,576337.1809,702039918.546905,716361,285933.8844,348309048.795046
2022-07-10 00:00:00+00:00,1217.02,1219.95,1153.0,1168.36,1018038.6506,1200593502.215751,680105,491394.2049,579379645.601991
2022-07-11 00:00:00+00:00,1168.37,1171.29,1091.71,1096.4,1201652.3048,1370709630.79611,1165044,597646.0363,681716660.921294
2022-07-12 00:00:00+00:00,1096.37,1098.26,1033.46,1038.58,1261349.6321,1347752238.274621,1142194,614931.8525,657086240.919135
2022-07-13 00:00:00+00:00,1038.58,1119.18,1006.32,1115.0,2035605.8299,2158672347.758078,1423956,1030606.4523,1093421247.313832
2022-07-14 00:00:00+00:00,1115.01,1214.65,1072.11,1193.42,1605101.9262,1816929082.732882,1611421,819667.2647,928967444.421808
2022-07-15 00:00:00+00:00,1193.42,1287.82,1181.05,1231.25,1466037.2584,1794058728.784521,1170632,730397.2075,894408671.965777
2022-07-16 00:00:00+00:00,1231.25,1422.91,1191.23,1355.85,1493809.9226,1936527899.325491,1678529,777667.4101,1007657142.354507
2022-07-17 00:00:00+00:00,1355.84,1387.0,1319.04,1338.65,1246202.8795,1687064377.69842,1163593,626408.8792,848289552.86427
